period,date,frequency,revenue_m,gross_profit_m,opex_m,operating_income_m,fcf_m,gmv_m,mrr_m,gross_margin,opex_pct_revenue,operating_margin,revenue_yoy
2024-Q2,2024-06-30,Q2,2045,1045,804,241,333.0,67245.0,169.0,0.511002444987775,0.39315403422982886,0.1178484107579462,
2025-Q2,2025-06-30,Q2,2680,1302,1011,291,422.0,87837.0,185.0,0.48582089552238805,0.37723880597014925,0.1085820895522388,0.3105134474327629
2026-Q2,2026-06-30,Q2,3583,1708,1220,488,654.0,115567.0,221.0,0.47669550655874965,0.3404967903991069,0.13619871615964277,0.33694029850746277
2025-Q3,2025-09-30,Q3,2844,1391,1048,343,507.0,92013.0,193.0,0.4890998593530239,0.36849507735583686,0.12060478199718706,
2024-FY,2024-12-31,FY,8880,4472,3397,1075,,,,0.5036036036036036,0.38254504504504505,0.12105855855855856,
2025-FY,2025-12-31,FY,11556,5555,4087,1468,,,,0.48070266528210454,0.35366908965039806,0.12703357563170647,
2025-Q1,2025-03-31,Q1,2360,1169,966,203,363.0,74750.0,182.0,0.49533898305084745,0.40932203389830507,0.08601694915254238,
2026-Q1,2026-03-31,Q1,3170,1546,1164,382,476.0,100743.0,212.0,0.48769716088328074,0.36719242902208205,0.12050473186119874,
